DATE,LPMVTXN
31 Jan 2000,4796
29 Feb 2000,4993
31 Mar 2000,5488
30 Apr 2000,5062
31 May 2000,5152
30 Jun 2000,5306
31 Jul 2000,5338
31 Aug 2000,5603
30 Sep 2000,5635
31 Oct 2000,5833
30 Nov 2000,6134
31 Dec 2000,5807
31 Jan 2001,5891
28 Feb 2001,5942
31 Mar 2001,5835
30 Apr 2001,5642
31 May 2001,5484
30 Jun 2001,5224
31 Jul 2001,5430
31 Aug 2001,5493
30 Sep 2001,5810
31 Oct 2001,6010
30 Nov 2001,6222
31 Dec 2001,6567
31 Jan 2002,6770
28 Feb 2002,7195
31 Mar 2002,7265
30 Apr 2002,7698
31 May 2002,8026
30 Jun 2002,8528
31 Jul 2002,8629
31 Aug 2002,8747
30 Sep 2002,8589
31 Oct 2002,9086
30 Nov 2002,9551
31 Dec 2002,9891
31 Jan 2003,9992
28 Feb 2003,9771
31 Mar 2003,9782
30 Apr 2003,10105
31 May 2003,10386
30 Jun 2003,10340
31 Jul 2003,10115
31 Aug 2003,11067
30 Sep 2003,12114
31 Oct 2003,12316
30 Nov 2003,12081
31 Dec 2003,12287
31 Jan 2004,12190
29 Feb 2004,12212
31 Mar 2004,11985
30 Apr 2004,11982
31 May 2004,10800
30 Jun 2004,10721
31 Jul 2004,10570
31 Aug 2004,9966
30 Sep 2004,8845
31 Oct 2004,8817
30 Nov 2004,8614
31 Dec 2004,8523
31 Jan 2005,8332
28 Feb 2005,8359
31 Mar 2005,8720
30 Apr 2005,8659
31 May 2005,8828
30 Jun 2005,9078
31 Jul 2005,9127
31 Aug 2005,9304
30 Sep 2005,9498
31 Oct 2005,9854
30 Nov 2005,10179
31 Dec 2005,10068
31 Jan 2006,10362
28 Feb 2006,10427
31 Mar 2006,11062
30 Apr 2006,11388
31 May 2006,11896
30 Jun 2006,12563
31 Jul 2006,12936
31 Aug 2006,13584
30 Sep 2006,13690
31 Oct 2006,13579
30 Nov 2006,13227
31 Dec 2006,14354
31 Jan 2007,15120
28 Feb 2007,14492
31 Mar 2007,13445
30 Apr 2007,13300
31 May 2007,13126
30 Jun 2007,12779
31 Jul 2007,12849
31 Aug 2007,12938
30 Sep 2007,12912
31 Oct 2007,12794
30 Nov 2007,12607
31 Dec 2007,12824
